,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,average
0,TransactionAmt,5269,4607,5888,4155,3896,5165,4830.0
1,card1,10251,9484,11539,9059,7832,10586,9791.833333333334
2,card2,5909,5687,6825,5387,4622,6689,5853.166666666667
3,card3,231,178,248,219,255,194,220.83333333333334
4,card5,1487,1270,1677,1262,1170,1632,1416.3333333333333
5,addr1,6234,5501,6735,5667,4930,6910,5996.166666666667
6,addr2,24,49,73,46,61,73,54.333333333333336
7,dist1,4576,4281,4685,4152,2988,5264,4324.333333333333
8,P_emaildomain,2372,2015,2515,1893,1576,2268,2106.5
9,R_emaildomain,1189,1106,1249,954,861,1342,1116.8333333333333
10,C1,2139,1990,2523,1983,1856,2456,2157.8333333333335
11,C2,1787,1661,2013,1566,1400,1768,1699.1666666666667
12,C4,290,237,279,229,230,327,265.3333333333333
13,C5,674,575,654,611,557,701,628.6666666666666
14,C6,1626,1377,1586,1473,1408,1641,1518.5
15,C7,138,161,172,127,139,176,152.16666666666666
16,C8,637,483,789,503,432,558,567.0
17,C9,1170,941,1124,923,861,1124,1023.8333333333334
18,C10,476,594,692,516,433,637,558.0
19,C11,1483,1259,1541,1312,1149,1477,1370.1666666666667
20,C12,548,527,634,480,394,584,527.8333333333334
21,C13,2977,2807,3264,2970,2914,3364,3049.3333333333335
22,C14,1788,1514,1821,1529,1300,1692,1607.3333333333333
23,D1,2876,2434,3043,2541,2154,2893,2656.8333333333335
24,D2,3031,2736,3266,2723,2463,3144,2893.8333333333335
25,D3,1468,1544,1956,1321,1199,1524,1502.0
26,D4,4011,3203,4040,3483,3112,4200,3674.8333333333335
27,D5,1639,1636,2064,1307,1173,1687,1584.3333333333333
28,D6,837,748,858,743,612,902,783.3333333333334
29,D8,2728,2612,3268,2509,2280,3033,2738.3333333333335
30,D9,1,2,2,4,1,1,1.8333333333333333
31,D10,3446,3097,3493,3069,2940,3648,3282.1666666666665
32,D11,2887,2102,3267,2072,2049,2720,2516.1666666666665
33,D12,840,647,783,643,540,812,710.8333333333334
34,D13,693,583,763,581,535,686,640.1666666666666
35,D14,1335,1217,1674,1180,1132,1684,1370.3333333333333
36,D15,1969,1886,2186,1880,1629,2146,1949.3333333333333
37,V3,195,122,194,114,143,146,152.33333333333334
38,V4,437,298,432,281,282,362,348.6666666666667
39,V5,507,324,543,326,316,512,421.3333333333333
40,V6,204,135,219,152,174,217,183.5
41,V7,205,176,208,146,132,239,184.33333333333334
42,V8,115,100,135,41,95,102,98.0
43,V9,77,40,82,47,52,60,59.666666666666664
44,V10,236,154,240,127,120,227,184.0
45,V11,272,100,192,160,118,216,176.33333333333334
46,V12,422,439,527,362,343,443,422.6666666666667
47,V13,496,486,495,454,370,500,466.8333333333333
48,V17,52,50,81,42,41,78,57.333333333333336
49,V19,487,434,461,397,322,402,417.1666666666667
50,V20,570,510,661,536,462,605,557.3333333333334
51,V29,214,184,242,164,183,187,195.66666666666666
52,V30,193,178,245,165,170,183,189.0
53,V33,90,100,156,87,89,125,107.83333333333333
54,V34,79,97,160,107,86,112,106.83333333333333
55,V35,578,495,554,452,386,544,501.5
56,V36,602,479,563,377,430,521,495.3333333333333
57,V37,381,392,473,349,321,468,397.3333333333333
58,V38,602,546,779,490,457,702,596.0
59,V40,237,236,313,215,190,259,241.66666666666666
60,V44,515,467,593,457,436,536,500.6666666666667
61,V45,765,693,856,732,622,858,754.3333333333334
62,V46,81,84,90,81,60,102,83.0
63,V47,197,193,260,222,153,240,210.83333333333334
64,V48,332,244,289,214,183,303,260.8333333333333
65,V49,332,235,318,304,202,328,286.5
66,V51,140,83,170,128,110,141,128.66666666666666
67,V52,192,136,221,177,166,230,187.0
68,V53,542,443,519,461,406,557,488.0
69,V54,615,548,634,521,476,662,576.0
70,V56,484,503,500,380,327,491,447.5
71,V58,103,109,173,161,103,132,130.16666666666666
72,V59,122,63,113,64,74,94,88.33333333333333
73,V60,107,98,150,107,107,139,118.0
74,V61,662,501,629,520,417,658,564.5
75,V62,736,739,848,717,610,839,748.1666666666666
76,V63,68,76,95,65,52,91,74.5
77,V64,151,130,113,141,101,163,133.16666666666666
78,V69,190,173,205,151,160,179,176.33333333333334
79,V70,260,213,251,246,201,267,239.66666666666666
80,V71,59,33,56,52,34,55,48.166666666666664
81,V72,56,55,109,81,65,76,73.66666666666667
82,V73,104,98,157,140,91,138,121.33333333333333
83,V74,226,235,257,213,214,248,232.16666666666666
84,V75,570,429,581,467,450,559,509.3333333333333
85,V76,633,529,647,575,552,661,599.5
86,V78,707,654,838,679,493,752,687.1666666666666
87,V80,109,80,109,111,75,105,98.16666666666667
88,V81,209,135,180,161,138,198,170.16666666666666
89,V82,696,628,658,585,565,756,648.0
90,V83,887,737,907,790,591,931,807.1666666666666
91,V84,42,41,55,22,34,43,39.5
92,V85,135,123,169,107,106,176,136.0
93,V87,1093,810,1044,828,811,1031,936.1666666666666
94,V90,204,257,266,193,195,204,219.83333333333334
95,V91,291,249,305,230,175,227,246.16666666666666
96,V92,40,30,66,25,23,51,39.166666666666664
97,V93,58,99,108,94,60,79,83.0
98,V94,90,103,133,107,98,63,99.0
99,V95,57,58,69,52,32,76,57.333333333333336
100,V96,262,196,315,203,182,301,243.16666666666666
101,V97,93,56,99,71,62,76,76.16666666666667
102,V99,215,257,244,155,170,224,210.83333333333334
103,V100,57,26,53,44,30,47,42.833333333333336
104,V126,416,307,498,304,283,426,372.3333333333333
105,V127,811,724,757,577,492,753,685.6666666666666
106,V128,493,327,470,335,291,487,400.5
107,V130,770,743,800,527,608,769,702.8333333333334
108,V131,450,418,572,368,351,453,435.3333333333333
109,V138,7,7,5,14,3,2,6.333333333333333
110,V139,247,266,251,221,185,251,236.83333333333334
111,V140,148,140,167,103,80,116,125.66666666666667
112,V143,131,217,212,165,208,221,192.33333333333334
113,V145,89,126,121,100,96,134,111.0
114,V146,44,40,66,63,41,56,51.666666666666664
115,V147,73,74,92,56,62,85,73.66666666666667
116,V149,139,232,232,208,213,237,210.16666666666666
117,V150,89,104,136,91,83,124,104.5
118,V151,31,40,59,33,36,58,42.833333333333336
119,V152,105,122,169,127,96,162,130.16666666666666
